Region,Year,League,Wins,Losses,Playoffs
Region_1,2000,League_1,51,12,True
Region_1,2000,League_2,92,39,False
Region_1,2000,League_3,14,88,True
Region_1,2000,League_4,71,67,True
Region_1,2001,League_1,60,41,False
Region_1,2001,League_2,20,18,True
Region_1,2001,League_3,82,81,True
Region_1,2001,League_4,86,93,False
Region_1,2002,League_1,74,18,False
Region_1,2002,League_2,74,57,True
Region_1,2002,League_3,87,22,True
Region_1,2002,League_4,99,53,False
Region_1,2003,League_1,23,79,True
Region_1,2003,League_2,2,64,True
Region_1,2003,League_3,21,11,True
Region_1,2003,League_4,52,23,False
Region_1,2004,League_1,1,33,True
Region_1,2004,League_2,87,52,True
Region_1,2004,League_3,29,7,False
Region_1,2004,League_4,37,17,False
Region_1,2005,League_1,1,56,False
Region_1,2005,League_2,63,4,True
Region_1,2005,League_3,59,25,True
Region_1,2005,League_4,20,29,False
Region_1,2006,League_1,32,53,True
Region_1,2006,League_2,75,12,True
Region_1,2006,League_3,57,82,True
Region_1,2006,League_4,21,28,True
Region_1,2007,League_1,88,2,False
Region_1,2007,League_2,48,89,False
Region_1,2007,League_3,90,57,True
Region_1,2007,League_4,58,75,False
Region_1,2008,League_1,41,1,True
Region_1,2008,League_2,91,74,True
Region_1,2008,League_3,59,27,False
Region_1,2008,League_4,79,81,False
Region_1,2009,League_1,14,76,True
Region_1,2009,League_2,61,85,True
Region_1,2009,League_3,61,75,True
Region_1,2009,League_4,46,1,True
Region_2,2000,League_1,61,6,False
Region_2,2000,League_2,50,25,False
Region_2,2000,League_3,54,89,True
Region_2,2000,League_4,63,87,True
Region_2,2001,League_1,2,75,False
Region_2,2001,League_2,50,15,True
Region_2,2001,League_3,6,22,False
Region_2,2001,League_4,20,39,True
Region_2,2002,League_1,72,59,False
Region_2,2002,League_2,38,72,True
Region_2,2002,League_3,17,31,True
Region_2,2002,League_4,3,14,True
Region_2,2003,League_1,88,12,False
Region_2,2003,League_2,59,4,False
Region_2,2003,League_3,13,74,True
Region_2,2003,League_4,8,73,True
Region_2,2004,League_1,89,51,True
Region_2,2004,League_2,52,76,True
Region_2,2004,League_3,1,40,False
Region_2,2004,League_4,83,52,False
Region_2,2005,League_1,91,49,False
Region_2,2005,League_2,59,14,True
Region_2,2005,League_3,70,6,True
Region_2,2005,League_4,43,39,False
Region_2,2006,League_1,7,27,True
